file_path,line,function,method,route,auth_control,has_auth_control,review_flag
api/terms_api.py,81,accept_terms,POST,/accept_terms,auth_client_ownership,yes,
api/terms_api.py,18,check_accepted_terms,GET,/accepted_terms,auth_client_ownership,yes,
api/auth/calendar_ui_status.py,14,check_google_calendar_connection,GET,/api/auth/google_calendar,auth_client_ownership,yes,
api/auth/google_calendar_callback.py,82,google_calendar_callback,GET,/api/auth/google_calendar/callback,oauth_callback_handshake,yes,
api/auth/google_calendar_auth.py,58,google_calendar_init,GET,/api/auth/google_calendar/init,auth_client_ownership,yes,
api/blog/blog_router.py,15,get_comments,GET,/api/blog/comments,public_or_webhook_entrypoint,yes,
api/blog/blog_router.py,30,post_comment,POST,/api/blog/comments,public_or_webhook_entrypoint,yes,
api/stripe_cancel_subscription.py,12,cancel_subscription,POST,/api/cancel-subscription,auth_client_ownership,yes,
api/internal/incident_readiness.py,36,get_incident_readiness_snapshot,GET,/api/internal/compliance/incident/readiness,internal_token,yes,
api/internal/incident_readiness.py,21,get_incident_runbook_reference,GET,/api/internal/compliance/incident/runbook,internal_token,yes,
api/internal/retention_jobs.py,33,get_retention_rules,GET,/api/internal/compliance/retention/rules,internal_token,yes,
api/internal/retention_jobs.py,46,execute_retention_job,POST,/api/internal/compliance/retention/run,internal_token,yes,
api/internal/privacy_requests.py,253,get_privacy_request_metrics,GET,/api/internal/privacy/metrics,internal_token,yes,
api/internal/privacy_requests.py,114,list_privacy_requests,GET,/api/internal/privacy/requests,internal_token,yes,
api/internal/privacy_requests.py,162,update_privacy_request,PATCH,/api/internal/privacy/requests/{request_id},internal_token,yes,
api/public/contact.py,25,create_public_contact,POST,/api/public/contact,public_or_webhook_entrypoint,yes,
api/public/plans.py,16,get_public_plans,GET,/api/public/plans,public_or_webhook_entrypoint,yes,
api/public/privacy.py,47,log_privacy_consent,POST,/api/public/privacy/consent,public_or_webhook_entrypoint,yes,
api/public/privacy.py,76,submit_privacy_request,POST,/api/public/privacy/request,public_or_webhook_entrypoint,yes,
api/public/privacy.py,170,get_privacy_request_status,GET,/api/public/privacy/request/status,public_or_webhook_entrypoint,yes,
api/modules/whatsapp/webhook.py,229,verify_webhook,GET,/api/whatsapp/webhook,public_or_webhook_entrypoint,yes,
api/modules/whatsapp/webhook.py,248,incoming_message,POST,/api/whatsapp/webhook,webhook_signature,yes,
api/appointments/cancel_appointment.py,28,cancel_appointment,POST,/appointments/cancel,auth_client_ownership,yes,
api/appointments/meta_reminder.py,53,send_meta_reminder,POST,/appointments/reminders/{reminder_id}/send-meta,internal_token,yes,
api/appointments/show_appointments.py,34,show_appointments,GET,/appointments/show,auth_client_ownership,yes,
api/ask_question_api.py,45,ask,POST,/ask,auth_client_ownership,yes,
api/modules/calendar/init_calendar_auth.py,113,disconnect_google_calendar,POST,/auth/google_calendar/disconnect,auth_client_ownership,yes,
api/modules/calendar/init_calendar_auth.py,51,google_calendar_init,GET,/auth/google_calendar/init,auth_client_ownership,yes,
api/delete_appointment.py,13,delete_appointment,DELETE,/calendar/appointment/{appointment_id},auth_client_ownership,yes,
api/appointments.py,12,list_appointments,GET,/calendar/appointments,auth_client_ownership,yes,
api/calendar_routes.py,22,book_calendar,POST,/calendar/book,auth_client_ownership,yes,
api/modules/calendar/init_calendar_auth.py,97,alias_calendar_connect,GET,/calendar/connect,auth_client_ownership,yes,
api/appointments/create_appointment.py,695,get_google_busy_slots,GET,/calendar/google_busy_slots,auth_client_ownership,yes,
api/calendar_settings.py,44,get_calendar_settings,GET,/calendar/settings,auth_client_ownership,yes,
api/calendar_settings.py,90,upsert_calendar_settings,POST,/calendar/settings,auth_client_ownership,yes,
api/calendar_status.py,13,get_calendar_status,GET,/calendar/status,auth_client_ownership,yes,
api/calendar_settings.py,159,toggle_calendar_status,PATCH,/calendar/status,auth_client_ownership,yes,
api/stripe_change_plan.py,24,change_plan,POST,/change-plan,auth_client_ownership,yes,
api/channels.py,43,get_channels,GET,/channels,auth_client_ownership,yes,
api/channels.py,108,set_email_sender_status,POST,/channels/email_sender_status,auth_client_ownership,yes,
api/chat_widget_api.py,609,chat_widget,POST,/chat,public_or_webhook_entrypoint,yes,
api/chat_widget_api.py,720,serve_chat_widget,GET,/chat-widget,public_or_webhook_entrypoint,yes,
api/modules/assistant_rag/chat_email.py,150,chat_email,POST,/chat_email,internal_token,yes,
api/check_consent.py,21,check_consent,GET,/check_consent,public_or_webhook_entrypoint,yes,
api/check_email_exists.py,18,check_email_exists,POST,/check_email_exists,public_or_webhook_entrypoint,yes,
api/clear_new_user_flag.py,10,clear_new_user_flag,POST,/clear_new_user_flag,auth_user,yes,
api/user_flags.py,13,clear_new_user_flag,POST,/clear_new_user_flag,auth_user,yes,
api/client_event_log_api.py,25,log_client_event,POST,/client_event_log,auth_client_ownership,yes,
api/client_settings_api.py,232,get_client_settings,GET,/client_settings,auth_client_ownership,yes,
api/client_settings_api.py,130,upsert_client_settings,POST,/client_settings,auth_client_ownership,yes,
api/routes/onboarding.py,49,complete_onboarding,POST,/complete_onboarding,auth_client_ownership,yes,
api/create_checkout_session.py,17,create_checkout_session,POST,/create-checkout-session,auth_client_ownership,yes,
api/appointments/create_appointment.py,1167,create_appointment_http,POST,/create_appointment,auth_client_ownership,yes,
api/create_client_if_needed.py,19,create_or_get_client,POST,/create_or_get_client,auth_user,yes,
api/dashboard_summary.py,147,dashboard_summary,GET,/dashboard_summary,auth_client_ownership,yes,
api/delete_chunks_api.py,15,delete_chunks,DELETE,/delete_chunks,auth_client_ownership,yes,
